#Drugs	Distance	Num_targets
Lisinopril	-0.6931471805599453	1
Nitroglycerin	1.0	1
Diphemanil Methylsulfate	1.0	1
Atracurium besylate	1.0	1
Naftifine	1.0	1
Esomeprazole	1.0	1
Pentamidine	1.0	1
Zileuton	-1.3862943611198906	1
Deferoxamine	-4.990432586778736	1
Carbinoxamine	1.0	1
Prilocaine	1.0	1
Dolasetron	1.0	1
Clopidogrel	1.0	1
Methimazole	2.0	1
Metyrosine	1.0	1
Hydrocortamate	1.0	1
Clidinium	1.0	1
Malathion	0.0	1
Oxcarbazepine	1.0	1
Roxithromycin	1.0	1
Propantheline	1.0	1
Gadopentetic acid	1.0	1
Tripelennamine	1.0	1
Candesartan cilexetil	1.0	1
Alfentanil	1.0	1
Proparacaine	1.0	1
Indapamide	2.0	1
Orciprenaline	-3.367295829986474	1
Clocortolone	1.0	1
Tolazamide	2.0	1
Clofazimine	2.0	1
Flurandrenolide	1.0	1
Aminolevulinic acid	2.0	1
Terbinafine	1.0	1
Drostanolone	1.0	1
Prednisolone	1.0	1
Tacrolimus	1.0	1
Ritodrine	-3.367295829986474	1
Benzonatate	1.0	1
Loteprednol etabonate	1.0	1
Eprosartan	1.0	1
Quinapril	-0.6931471805599453	1
Isosorbide dinitrate	1.0	1
Risedronate	2.0	1
Granisetron	1.0	1
Oxybuprocaine	1.0	1
Testolactone	0.0	1
Rimexolone	1.0	1
Didanosine	1.0	1
Bitolterol	-3.367295829986474	1
Methdilazine	1.0	1
Tiagabine	2.0	1
Paricalcitol	1.0	1
Anileridine	1.0	1
Metronidazole	1.0	1
Cyclobenzaprine	-2.6390573296152584	1
Famotidine	1.0	1
Azacitidine	-1.9459101490553132	1
Hexafluronium	0.0	1
Cycrimine	1.0	1
Phenprocoumon	1.0	1
Fulvestrant	1.0	1
Fexofenadine	1.0	1
Methylprednisolone	1.0	1
Mepivacaine	1.0	1
Desloratadine	1.0	1
Alosetron	1.0	1
Dactinomycin	1.0	1
Azelastine	1.0	1
Lomefloxacin	1.0	1
Cyclopentolate	1.0	1
Isotretinoin	1.0	1
Nandrolone phenpropionate	1.0	1
Dimenhydrinate	1.0	1
Cytarabine	1.0	1
Exemestane	0.0	1
Methyl aminolevulinate	1.0	1
Neomycin	1.0	1
Levobupivacaine	1.0	1
Hydroxyurea	1.0	1
Letrozole	0.0	1
Tioconazole	1.0	1
Metyrapone	1.0	1
Cinacalcet	1.0	1
Clobetasol propionate	1.0	1
Sulfamethoxazole	1.0	1
Isosorbide Mononitrate	2.0	1
Cerulenin	1.0	1
Lubiprostone	2.0	1
Abacavir	1.0	1
Tocainide	1.0	1
Echothiophate	0.0	1
Norfloxacin	1.0	1
Dihydrotachysterol	1.0	1
Mequitazine	1.0	1
Deslanoside	1.0	1
Streptomycin	1.0	1
Emedastine	1.0	1
Benzocaine	1.0	1
Deserpidine	1.0	1
Butenafine	1.0	1
Fluvastatin	2.0	1
Rosuvastatin	2.0	1
Flucytosine	-1.9459101490553132	1
Capecitabine	2.0	1
Trimethaphan	10000.0	1
Phenacemide	1.0	1
Ambenonium	-1.6094379124341003	1
Proflavine	1.0	1
Anisindione	2.0	1
Econazole	2.0	1
Bicalutamide	1.0	1
Rabeprazole	1.0	1
Prednicarbate	1.0	1
Proguanil	1.0	1
Desoxycorticosterone pivalate	2.0	1
Levofloxacin	1.0	1
Trimetrexate	1.0	1
Bretylium	1.0	1
Calcium Chloride	1.0	1
Ofloxacin	1.0	1
Cilostazol	2.0	1
Itraconazole	1.0	1
Procarbazine	1.0	1
Guanethidine	1.0	1
Idarubicin	1.0	1
Chlormezanone	1.0	1
Rescinnamine	-0.6931471805599453	1
Ifosfamide	2.0	1
Ciclopirox	1.0	1
Mitoxantrone	1.0	1
Lomustine	2.0	1
Sparfloxacin	1.0	1
Anastrozole	0.0	1
Halofantrine	1.0	1
Dantrolene	1.0	1
Rifaximin	2.0	1
Budesonide	1.0	1
Encainide	1.0	1
Bromodiphenhydramine	1.0	1
Gemfibrozil	1.0	1
Alimemazine	1.0	1
Ergometrine	1.0	1
Lisdexamfetamine	1.0	1
Eculizumab	1.0	1
Desonide	1.0	1
Sitagliptin	1.0	1
Decitabine	-1.9459101490553132	1
Telbivudine	2.0	1
Panitumumab	1.0	1
Ranibizumab	-2.833213344056216	1
Idursulfase	1.0	1
Alglucosidase alfa	1.0	1
Arformoterol	-3.367295829986474	1
Exenatide	1.0	1
Galsulfase	1.0	1
Nelarabine	1.0	1
Carbetocin	1.0	1
Tetracosactide	1.0	1
Glisoxepide	1.0	1
Practolol	1.0	1
Insulin Aspart	1.0	1
Insulin Detemir	1.0	1
Insulin Glulisine	1.0	1
Fosphenytoin	1.0	1
Polythiazide	2.0	1
Vecuronium	1.0	1
Cilazapril	-0.6931471805599453	1
Dihydroquinidine barbiturate	1.0	1
Forasartan	1.0	1
Potassium cation	1.0	1
Saprisartan	1.0	1
Spirapril	-0.6931471805599453	1
Mestranol	1.0	1
Procaterol	-3.367295829986474	1
Magnesium cation	1.0	1
Cortisone acetate	1.0	1
Paramethasone	1.0	1
Digitoxin	1.0	1
Neostigmine	-1.6094379124341003	1
Bambuterol	-3.367295829986474	1
Ciclesonide	1.0	1
Acenocoumarol	1.0	1
Testosterone propionate	1.0	1
Nitroxoline	1.0	1
Alizapride	1.0	1
Ajmaline	1.0	1
Almitrine	1.0	1
Methadyl acetate	1.0	1
Phenazopyridine	1.0	1
Fencamfamine	1.0	1
Ethylmorphine	1.0	1
1-Testosterone	1.0	1
Boldenone	1.0	1
Androstanedione	1.0	1
Calusterone	1.0	1
Formebolone	2.0	1
Everolimus	1.0	1
Cilastatin	3.0	1
Amyl Nitrite	1.0	1
Aceprometazine	1.0	1
Alverine	-2.4849066497880004	1
Phenindamine	1.0	1
Etoricoxib	1.0	1
5-Fluorouridine	1.0	1
SC-74020	1.0	1
(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One	2.0	1
3,6-Dihydroxy-Xanthene-9-Propionic Acid	1.0	1
N-Acetylmethionine	2.0	1
Daxalipram	2.0	1
Methyl 4,6-O-[(1r)-1-Carboxyethylidene]-Beta-D-Galactopyranoside	-2.3978952727983707	1
Trans-O-Hydroxy-Alpha-Methyl Cinnamate	1.0	1
(S)-Des-Me-Ampa	1.0	1
ZK-800270	1.0	1
D-Myo-Inositol-Hexasulphate	2.0	1
8-azaguanine	1.0	1
4-(Hydroxymercury)Benzoic Acid	2.0	1
2,3-Dihydroxy-Benzoic Acid	1.0	1
Methacrylyl-Coenzyme A	2.0	1
RU84687	1.0	1
Benzene Hexacarboxylic Acid	2.0	1
1-Hydroxy-1-Thio-Glycerol	2.0	1
Topiroxostat	2.0	1
Inhibitor Idd 384	2.0	1
Dithioerythritol	1.0	1
N-Hydroxy-4-Phosphono-Butanamide	1.0	1
(4e)-4-Aminohex-4-Enoic Acid	1.0	1
AICA ribonucleotide	1.0	1
2,4-Dihydroxy-Trans Cinnamic Acid	1.0	1
Bis(5-Amidino-Benzimidazolyl)Methane	1.0	1
2-phospho-D-glyceric acid	1.0	1
Porphyrin Fe(III)	1.0	1
2,3,4,5,6-Pentafluorobenzyl Alcohol	2.0	1
(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Phenylalanine Ethyl Ester	1.0	1
{3-[3-(3,4-Dimethoxy-Phenyl)-1-(1-{1-[2-(3,4,5-Trimethoxy-Phenyl)-Butyryl]-Piperidin-2yl}-Vinyloxy)-Propyl]-Phenoxy}-Acetic Acid	1.0	1
3-[Aminoethylphosphoryl]-[1,2-Di-Palmitoyl]-Sn-Glycerol	2.0	1
(S)-Wiskostatin	1.0	1
L-Phospholactate	1.0	1
3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid	1.0	1
[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium	1.0	1
Nalpha-(2-Naphthylsulfonylglycyl)-3-Amidino-D,L-Phenylalanine-Isopropylester	1.0	1
Phosphorylcolamine	1.0	1
CRA_17693	1.0	1
(3r)-1-Acetyl-3-Methylpiperidine	1.0	1
N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester	1.0	1
N-Benzyl-4-Sulfamoyl-Benzamide	2.0	1
1-naphthaleneacetic acid	1.0	1
3,4-Dihydroxy-1-Methylquinolin-2(1h)-One	1.0	1
4-phospho-L-threonic acid	2.0	1
2-Methoxy-3-Isopropylpyrazine	3.0	1
4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine	1.0	1
Acetoacetic Acid	2.0	1
7-thionicotinamide-adenine-dinucleotide phosphate	1.0	1
(5-Oxo-5,6-Dihydro-Indolo[1,2-a]Quinazolin-7-Yl)-Acetic Acid	1.0	1
CRA_10991	1.0	1
3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione	-3.2188758248682006	1
M-Cresol	-3.1780538303479458	1
Coa-S-Trimethylene-Acetyl-Tryptamine	2.0	1
Fusicoccin	1.0	1
4-Flourobenzenesulfonamide	2.0	1
Sp-Adenosine-3',5'-Cyclic-Monophosphorothioate	1.0	1
SB-409513	-3.2188758248682006	1
N,4-Dihydroxy-N-Oxo-3-(Sulfooxy)Benzenaminium	1.0	1
N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea	1.0	1
[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	1.0	1
3h-Indole-5,6-Diol	1.0	1
O3-Sulfonylgalactose	1.0	1
Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide	1.0	1
Beta-D-Glucopyranose Spirohydantoin	2.0	1
N-Butyl Isocyanide	1.0	1
2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide	1.0	1
{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid	1.0	1
Tryptophanyl-5'amp	10000.0	1
4-[Hydroxy-[Methyl-Phosphinoyl]]-3-Oxo-Butanoic Acid	2.0	1
L-2-Amino-4-(Guanidinooxy)Butyric Acid	-2.772588722239781	1
4r-Fluoro-N6-Ethanimidoyl-L-Lysine	1.0	1
[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone	1.0	1
O-acetyl-L-serine	1.0	1
Propylene glycol	1.0	1
2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate	2.0	1
3'-Phosphate-Adenosine-5'-Diphosphate	2.0	1
3-Amino-8,9,10-Trihydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione	2.0	1
Tetrabutylammonium Ion	1.0	1
Kaempherol	10000.0	1
5-Bromonicotinamide	2.0	1
[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate	1.0	1
Cordycepin Triphosphate	1.0	1
RU79256	1.0	1
1,4-dithio-alpha-D-glucopyranose	1.0	1
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester	1.0	1
Bis(5-Amidino-2-Benzimidazolyl)Methanone	1.0	1
N-Hydroxy 1n(4-Methoxyphenyl)Sulfonyl-4-(Z,E-N-Methoxyimino)Pyrrolidine-2r-Carboxamide	-1.6094379124341003	1
3,4-Dihydroxycinnamic Acid	2.0	1
2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One	1.0	1
4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide	1.0	1
16,17-Androstene-3-Ol	2.0	1
N6-Benzyl Adenosine-5'-Diphosphate	1.0	1
2-(2f-Benzothiazolyl)-5-Styryl-3-(4f-Phthalhydrazidyl)Tetrazolium Chloride	1.0	1
RU85493	1.0	1
Pentanal	1.0	1
Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam	2.0	1
Carboxymycobactin S	1.0	1
Duroquinone	1.0	1
5-Chloryl-2,4,6-Quinazolinetriamine	1.0	1
Dcka, 5,7-Dichlorokynurenic Acid	-2.6390573296152584	1
7-Hydroxystaurosporine	1.0	1
5-Amidino-Benzimidazole	1.0	1
Balanol Analog 2	1.0	1
6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid	1.0	1
(S)-blebbistatin	1.0	1
RU78262	1.0	1
1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One	1.0	1
2-Amino-N,3,3-Trimethylbutanamide	1.0	1
N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea	-3.2188758248682006	1
Gpi-1046	1.0	1
Inhibitor of P38 Kinase	1.0	1
5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine	1.0	1
Cytidine 3'-monophosphate	2.0	1
Phenylethane Boronic Acid	1.0	1
AL5424	2.0	1
Di-Stearoyl-3-Sn-Phosphatidylethanolamine	1.0	1
Trifluoroacetonyl Coenzyme A	1.0	1
Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide	2.0	1
O-Benzylsulfonyl-Serine	1.0	1
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine	-2.5649493574615367	1
Methyl alpha-D-mannoside	1.0	1
2(S)-Amino-6-Boronohexanoic Acid	1.0	1
6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine	1.0	1
Carbobenzoxy-Pro-Lys-Phe-Y(Po2)-Ala-Pro-Ome	2.0	1
Cholesterol sulfate	2.0	1
2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol	1.0	1
5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine	1.0	1
5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine	1.0	1
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine	1.0	1
N-(Phosphonoacetyl)-L-Ornithine	1.0	1
Compound 9	1.0	1
R048-8071	1.0	1
Amido Phenyl Pyruvic Acid	2.0	1
Alrestatin	2.0	1
(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]	1.0	1
N-Cyclohexyl-N'-(4-Iodophenyl)Urea	1.0	1
1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid	-0.6931471805599453	1
Tridolgosir	2.0	1
1-Hexadecylsulfonyl Fluoride	1.0	1
S-Acetyl-Cysteine	-2.9444389791664403	1
Amylamine	1.0	1
N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid	1.0	1
2-(1,1'-Biphenyl-4-Yl)Propanoic Acid	1.0	1
1,2,4-Triazole-Carboxamidine	-2.772588722239781	1
2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide	1.0	1
Gabaculine	1.0	1
(S)-AMPA	1.0	1
CRA_16847	1.0	1
Triglu-5-Formyl-Tetrahydrofolate	1.0	1
N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide	2.0	1
WAY-151693	1.0	1
2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid	1.0	1
Aminooxyacetic acid	1.0	1
1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene	1.0	1
Bis-Benzamidine	1.0	1
Phosphoaminophosphonic Acid Guanylate Ester	1.0	1
CRA_17312	1.0	1
3,5-Difluorobenzenesulfonamide	2.0	1
CP-526423	2.0	1
A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor	-1.6094379124341003	1
5-Phospho-D-Arabinohydroxamic Acid	1.0	1
Isatin	1.0	1
FR221647	2.0	1
Cytidine	2.0	1
(S,R)-fidarestat	2.0	1
2-Chlorodideoxyadenosine	1.0	1
2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine	1.0	1
3,5-Dinitrocatechol	-1.0986122886681098	1
[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid	1.0	1
Leucine - Reduced Carbonyl	1.0	1
2-Aminoethanimidic Acid	-2.3978952727983707	1
Hadacidin	10000.0	1
Zk-806450	1.0	1
Para-Isopropylaniline	1.0	1
Daidzin	1.0	1
CP-271485	-1.0986122886681098	1
N-1-Methylheptylformamide	2.0	1
Zenarestat	2.0	1
N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide	1.0	1
S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea	-2.772588722239781	1
N-Isopropyl-N'-Hydroxyguanidine	-2.3978952727983707	1
1,2-diacyl-sn-glycero-3-phosphoinositol	2.0	1
Cyclo-Tetrametavanadate	-3.367295829986474	1
3-Amino-4-Oxybenzyl-2-Butanone	-2.3978952727983707	1
Balanol Analog 8	1.0	1
(1s)-1-(9-Deazaadenin-9-Yl)-1,4,5-Trideoxy-1,4-Imino-5-Methylthio-D-Ribitol	1.0	1
(R)-Propylene glycol	1.0	1
Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester	1.0	1
5'-O-(N-Ethyl-Sulfamoyl)Adenosine	1.0	1
N-Sulfo-Flavin Mononucleotide	1.0	1
Zinc Trihydroxide	2.0	1
Propidium	-1.6094379124341003	1
9,10-Deepithio-9,10-Didehydroacanthifolicin	1.0	1
1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One	1.0	1
1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine	1.0	1
2'-Deoxyguanosine-5'-Triphosphate	1.0	1
Adenosine-5'-Ditungstate	1.0	1
2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One	10000.0	1
2',3'-Dideoxyadenosine-5'-Triphosphate	1.0	1
3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine	1.0	1
4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide	1.0	1
2-Bromoacetyl Group	1.0	1
Malonate Ion	2.0	1
6-(1,1-Dimethylallyl)-2-(1-Hydroxy-1-Methylethyl)-2,3-Dihydro-7h-Furo[3,2-G]Chromen-7-One	-0.6931471805599453	1
Pyridoxine phosphate	1.0	1
N-Methyl-N-Propargyl-1(R)-Aminoindan	1.0	1
Furoyl-Leucine	1.0	1
Dpb-T	2.0	1
AL7089A	2.0	1
4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide	2.0	1
2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine	1.0	1
3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium	-1.6094379124341003	1
Immucillin-G	1.0	1
L-methionine (R)-S-oxide	-4.990432586778736	1
Glycinamide Ribonucleotide	1.0	1
Laevulinic Acid	2.0	1
Quinacrine mustard	1.0	1
4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide	1.0	1
2-Ethoxyethanol	2.0	1
SR11254	1.0	1
3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide	1.0	1
4-Oxosebacic Acid	2.0	1
Orotic Acid	1.0	1
Argininosuccinate	1.0	1
4-(Acetylamino)-3-Amino Benzoic Acid	2.0	1
[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium	1.0	1
S-(2-Oxo)Pentadecylcoa	1.0	1
Porphobilinogen	2.0	1
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea	1.0	1
Benzoylformic Acid	1.0	1
Formycin	1.0	1
5'-Deoxy-5'-Methylthioadenosine	1.0	1
Protoporphyrin	1.0	1
CRA_9334	1.0	1
Isoamyl alcohol	1.0	1
2-Amino-6-Chloropyrazine	1.0	1
Arginineamide	1.0	1
Calcipotriol	1.0	1
(5s)-5-Iododihydro-2,4(1h,3h)-Pyrimidinedione	1.0	1
Palmitoyl-Linoleoyl Phosphatidylcholine	2.0	1
4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium	1.0	1
3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium	1.0	1
Methyl Methylsulfinylmethyl Sulfide	1.0	1
2-deoxy-2-fluoro-alpha-D-mannosyl fluoride	2.0	1
Heparin Disaccharide I-S	1.0	1
EM-1745	1.0	1
1-Hydroxyamine-2-Isobutylmalonic Acid	1.0	1
2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid	1.0	1
Carbenoxolone	-0.6931471805599453	1
2-Aminothiazoline	-2.772588722239781	1
RU83876	1.0	1
S-(D-Carboxybutyl)-L-Homocysteine	2.0	1
N-Acetyl-Serine	1.0	1
